text,time,votes,replies
Cuca só tá atrapalhando o  Atlético mg,há 1 ano,0,
"O galo está totalmente sem confiança o ano foi péssimo e os jogadores sentiram as eliminações....
(Golaço do bragantino hj)
O galo precisa voltar a ser aquele time confiante e exterminador do ano passado...",há 1 ano,1,
Resultado normal pro sintético mineiro Nanico,há 1 ano,3,
" @cauakeven836  kkkkkkk esse aí não volta mais não, é 1 vez a cada 50 anos",há 1 ano,2,
@Edilson galaum da Márcia,há 1 ano (editado),0,
" @OGianEletricista  Um fracasso a volta do cuca bol como treineiro do galinho,só para lembrar ele fez a mesma coisa com a porcada,após ter sido campeão do Brasileirao saiu,viajou para a Itália e quando voltou dirigiu a porcada foi um fracasso.....",há 1 ano,1,
 @nathanbretz4346  kid,há 1 ano,0,
 @palzaoterrordananicada2395  eliminado da liberta pro paranaense kkk e que falar alguma coisa nois elimino o paanaense na copa do brasil  de goleada e vcs viraram e tomaram a virada vc não tem direito de falar nd,há 1 ano (editado),0,
 @OGianEletricista  3 anos na B que falar o que?,há 1 ano (editado),0,
" Samuel Filipe Almeida  mano á eleminação do Atlético MG pro malvadão foi tão gostosa,eles conheceram o verdadeiro inferno👿💥💥🙅🍗SRN🖤❤️",há 1 ano,0,
 @CRF1895.  mn que inferno velho se o galo tivesse jogando o fitebol de ano passado vcs estariam eliminado  ano que vem noia rrsolvw isso la na arena MRV OK la e inferno de vdd Maracanã  não,há 1 ano,0,
 @CRF1895.  e malvadao nao tem de nd um time ajudado  por arbitros e juizes,há 1 ano,0,
"Saudades do mohamed,pelo menos ele colocava esse alonso horroroso na reserva...igor rabello era titular, sem falar que ele deixou o time na 2 colocaçao...",há 1 ano,0,
 @allanmiranda4140  sai fora turco se não  trazesse o cuca era melhor trazer o sampaoli,há 1 ano,0,
 @marianelicia2464  kkkkkkkk n quero briga👍,há 1 ano,0,
Uma bosta,há 1 ano,0,
 @CRF1895.  ok tmj🙂,há 1 ano,0,
 @marianelicia2464  sim n vamos brigar por causa de futebol né?,há 1 ano,0,
 @CRF1895.  isso e eu respeito  dms o flamengo  tomara que vcs sejam campeões  da libertadores  e nao deixem o furacão  ganhar porque nao quero que eles tenham  liberta so odeio  o palmeiras,há 1 ano (editado),0,
Atlético-MG é minúsculo não tem tradição,há 1 ano,0,
 @isaquemartins1110  pode falar o que vc quizer fodasse a realidade ta ai nao discuto com cheirinho e maria mulamba,há 1 ano,0,
Mais ou menos Boa,há 1 ano,0,
Tá fazendo um bom trabalho que continue assim,há 1 ano,0,
assinar premiere pra dar dinheiro pro Flamengo?,há 1 ano,0,
Perdeu o brilho 🥺,há 1 ano,0,
​ @DaviSilva-mf2qp  campeão do que do g6?,há 1 ano,0,
Jogaço,há 1 ano,0,
 @palzaoterrordananicada2395  União Palzeiro pra zoar o Galinho. 🇳🇬🤝🇪🇺,há 1 ano,0,
 @marianelicia2464  Meu bi-eliminado na libertadores 🤣🤣,há 1 ano,0,
 @marianelicia2464  TAMO VOLTANDO PRO SEU CHORO KK,há 1 ano,0,
 @vitordasilvasousa6838  kkkk,há 1 ano,0,
 @palmeirasmaiorcampeaodobra8915  foi eliminado com um time chorão  e que zua kkk foi eliminado pro paranaense na cdb nois goelo eles aqui no Mineirão  e la na arena deles timinho kkk não  e o maior nem do seu estado e nem do brasil hehe,há 1 ano (editado),0,
 @palmeirasmaiorcampeaodobra8915  alem de ser palmeiras e maria mulamba kkkk,há 1 ano,0,
 @marianelicia2464  somos o maior do Brasil aceita que doi menos 😂😂,há 1 ano,0,
 @marianelicia2464  Ambos são pais do seu time 😂😂,há 1 ano (editado),0,
pessimo,há 1 ano,0,
